Mk,m (kg),W (mm),At1 (mm),ec (cm3),ep (KW),Mp_BMW GROUP,Mp_DAIMLER AG,Mp_GENERAL MOTORS,Mp_KIA,Mp_MITSUBISHI MOTORS,Mp_RENAULT,Mp_SUZUKI POOL,Mp_VW GROUP PC,Fm_B,Fm_E,Fm_M,Ft_Diesel,Ft_Diesel/Electric,Ft_Electric,Ft_LPG,Ft_NG-biomethane,Ft_Petrol,Ft_Petrol/Electric
0.4367532775653494,0.3091334894613583,0.37094929470072435,0.5256166982922204,0.22025565388397245,0.09701492537313432,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.4367532775653494,0.4215456674473068,0.37094929470072435,0.5559772296015182,0.24516551950180265,0.11100746268656715,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.388668643194474,0.02857142857142858,0.2058711399161266,0.27514231499051256,0.057686004588659454,0.012126865671641791,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
0.392813908516714,0.43231850117096016,0.34044986656500187,0.5578747628083494,0.21451982956407734,0.06063432835820895,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.35734130912888196,0.18501170960187352,0.2295081967213114,0.34535104364326363,0.18862667977712222,0.10261194029850747,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
0.388668643194474,0.32552693208430916,0.3503621807091116,0.5426944971537,0.15585054080629301,0.0503731343283582,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
0.4367532775653494,0.5386416861826698,0.49485322150209676,0.6660341555977229,0.6581448705342511,0.2835820895522388,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.3667480924724632,0.14754098360655732,0.22493328250095312,0.32827324478178355,0.12258275975090134,0.05690298507462686,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
0.4367532775653494,0.3911007025761124,0.4086923370186809,0.6110056925996203,0.21353654539495248,0.10447761194029852,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.4367532775653494,0.5035128805620609,0.4086923370186809,0.5996204933586338,0.38348082595870203,0.14832089552238803,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.392813908516714,0.26791569086651057,0.3156690812047275,0.5768500948766602,0.11750245821042281,0.06716417910447761,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.4367532775653494,0.40749414519906324,0.37094929470072435,0.5787476280834913,0.38495575221238937,0.22294776119402981,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.388668643194474,0.25199063231850116,0.4342356080823485,0.4933586337760909,0.057686004588659454,0.04104477611940298,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
0.4367532775653494,0.2997658079625293,0.31719405261151346,0.5085388994307403,0.24516551950180265,0.09235074626865672,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.4367532775653494,0.3466042154566744,0.37094929470072435,0.5256166982922204,0.24516551950180265,0.08768656716417911,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.425298630071092,0.4519906323185011,0.4586351505909264,0.6356736242884251,0.38446411012782694,0.15298507462686567,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.4367532775653494,0.4590163934426229,0.3835303088067098,0.6755218216318788,0.24516551950180265,0.11100746268656715,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.392813908516714,0.20281030444964876,0.3030880670987418,0.5028462998102468,0.12323828253031792,0.07369402985074627,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.425298630071092,0.4918032786885246,0.41974837971788037,0.6015180265654649,0.22091117666338905,0.10167910447761193,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.392813908516714,0.39765807962529276,0.3156690812047275,0.5768500948766602,0.11750245821042281,0.05317164179104478,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.392813908516714,0.3503512880562061,0.34044986656500187,0.5578747628083494,0.11750245821042281,0.05317164179104478,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
